YEAR,MONTH,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
1907,9.0,59.5,-135.5,"SKAGWAY, AK",USA,Probable Tsunami,5.5,33.0,0.0,Limited (<$1 million),
1922,1.0,-7.111,143.53,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,6.9,33.0,,Limited (<$1 million),
1901,3.0,36.0,-120.5,"MONTEREY BAY, N. CALIFORNIA",USA,Probable Tsunami,6.7,,,,
1915,8.0,38.5,20.7,IONIAN SEA,GREECE,Probable Tsunami,6.7,14.0,3.0,Severe (~>$5 to $24 million),
1901,6.0,39.0,143.0,"IWATE, JAPAN",JAPAN,Definite Tsunami,6.0,33.0,,,
1915,11.0,18.0,119.5,W. LUZON ISLAND,PHILIPPINES,Probable Tsunami,6.4,33.0,0.5,Limited (<$1 million),
1920,8.0,-38.0,-73.5,CENTRAL CHILE,CHILE,Probable Tsunami,7.0,15.0,1.0,Moderate (~$1 to $5 million),
1917,5.0,23.2,121.6,TAIWAN,TAIWAN,Definite Tsunami,5.8,33.0,-0.5,,
1917,1.0,24.47,118.08,SOUTH CHINA SEA,CHINA,Definite Tsunami,6.5,,1.0,Limited (<$1 million),
1913,10.0,-7.0,148.0,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.0,33.0,,,
1913,2.0,-41.8,171.5,TASMAN SEA,NEW ZEALAND,Probable Tsunami,6.8,33.0,0.5,Limited (<$1 million),
1912,6.0,40.5,142.0,SANRIKU,JAPAN,Probable Tsunami,6.6,100.0,0.0,Limited (<$1 million),
1909,3.0,34.5,141.5,OFF BOSO PENINSULA,JAPAN,Definite Tsunami,6.7,,,Limited (<$1 million),
1908,9.0,19.0,-155.0,HAWAII,USA,Definite Tsunami,6.8,33.0,0.0,,
1908,2.0,-2.0,100.0,SW. SUMATRA,INDONESIA,Probable Tsunami,7.5,130.0,1.0,,
1903,12.0,-28.5,-71.0,NORTHERN CHILE,CHILE,Probable Tsunami,6.5,,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1900,9.0,-5.0,148.0,RABAUL HARBOR,PAPUA NEW GUINEA,Probable Tsunami,7.1,,1.5,,
1900,9.0,-4.0,152.0,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,6.8,,,Limited (<$1 million),
1921,11.0,8.0,127.0,PHILIPPINE TRENCH,PHILIPPINES,Probable Tsunami,7.5,,1.0,Limited (<$1 million),
1921,9.0,-11.0,111.0,JAVA,INDONESIA,Definite Tsunami,7.5,,-2.0,,
1920,9.0,-19.919,168.53,VANUATU ISLANDS,VANUATU,Probable Tsunami,7.8,35.0,,Limited (<$1 million),
1919,5.0,-4.806,153.859,SOLOMON SEA,PAPUA NEW GUINEA,Probable Tsunami,8.2,35.0,1.0,Limited (<$1 million),
1919,4.0,-18.352,-172.515,TONGA ISLANDS,TONGA,Definite Tsunami,8.1,25.0,1.5,,
1918,12.0,-26.0,-71.0,NORTHERN CHILE,CHILE,Definite Tsunami,7.8,33.0,2.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1918,11.0,44.5,151.5,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.8,33.0,2.0,,
1918,2.0,23.5,117.2,GUANGDONG PROVINCE,CHINA,Definite Tsunami,7.5,33.0,-1.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1917,5.0,-29.2,-177.0,KERMADEC ISLANDS,NEW ZEALAND,Definite Tsunami,8.0,60.0,3.0,,
1917,1.0,6.0,125.0,CELEBES SEA,PHILIPPINES,Probable Tsunami,6.4,33.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1917,1.0,-7.0,116.0,BALI SEA,INDONESIA,Probable Tsunami,6.6,33.0,,Moderate (~$1 to $5 million),Very Many (~1001 or more people)
1916,4.0,9.6,-82.0,BOCAS DEL TORO,PANAMA,Definite Tsunami,7.0,25.0,,Limited (<$1 million),
1916,1.0,-4.739,152.548,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,7.9,35.0,2.0,Limited (<$1 million),
1915,11.0,38.3,142.9,SANRIKU,JAPAN,Definite Tsunami,7.8,60.0,0.5,Limited (<$1 million),
1914,1.0,31.58,130.67,SEIKAIDO,JAPAN,Definite Tsunami,7.1,33.0,-1.0,Severe (~>$5 to $24 million),Some (~51 to 100 people)
1911,6.0,28.0,130.0,RYUKYU ISLANDS,JAPAN,Definite Tsunami,8.0,160.0,1.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1909,12.0,12.5,145.0,"GUAM, MARIANA ISLANDS",USA TERRITORY,Definite Tsunami,8.0,100.0,,Moderate (~$1 to $5 million),
1909,8.0,35.4,136.3,"ANEGAWA, JAPAN",JAPAN,Definite Tsunami,6.9,33.0,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1909,3.0,34.5,141.5,OFF BOSO PENINSULA,JAPAN,Definite Tsunami,7.5,80.0,,Limited (<$1 million),
1907,4.0,17.0,-100.0,S. MEXICO,MEXICO,Probable Tsunami,8.1,,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1907,1.0,18.0,-76.8,JAMAICA,JAMAICA,Definite Tsunami,6.5,,,Extreme (~$25 million or more),Many (~101 to 1000 people)
1906,10.0,-4.0,149.0,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,7.2,,1.5,Limited (<$1 million),
1906,9.0,-7.0,149.0,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,8.0,33.0,1.5,Severe (~>$5 to $24 million),Some (~51 to 100 people)
1906,8.0,-33.0,-72.0,CENTRAL CHILE,CHILE,Probable Tsunami,8.2,25.0,2.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1906,4.0,37.7,-122.5,N. CALIFORNIA,USA,Definite Tsunami,7.9,33.0,-4.0,,
1904,6.0,52.0,159.0,"KAMCHATKA PENINSULA, RUSSIA",RUSSIA,Probable Tsunami,8.1,,,,
1904,6.0,52.0,159.0,"KAMCHATKA PENINSULA, RUSSIA",RUSSIA,Definite Tsunami,8.3,30.0,2.0,,
1902,7.0,40.75,23.25,AEGEAN SEA,GREECE,Probable Tsunami,6.6,,2.0,,
1901,8.0,40.5,142.5,OFF NORTHEAST COAST HONSHU,JAPAN,Definite Tsunami,6.3,33.0,,,
1901,8.0,40.6,142.3,OFF NORTHEAST COAST HONSHU,JAPAN,Definite Tsunami,7.4,33.0,-1.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1901,8.0,40.5,142.5,OFF NORTHEAST COAST HONSHU,JAPAN,Definite Tsunami,7.2,33.0,-0.5,Moderate (~$1 to $5 million),
1901,6.0,28.0,130.3,RYUKYU ISLANDS,JAPAN,Definite Tsunami,7.5,33.0,-1.5,Limited (<$1 million),
1900,10.0,11.0,-66.0,MANCUTO,VENEZUELA,Probable Tsunami,8.4,25.0,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1900,10.0,-4.0,140.0,BISMARCK SEA,INDONESIA,Probable Tsunami,6.9,,1.5,Limited (<$1 million),Few (~1 to 50 people)
1918,9.0,45.5,151.5,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,8.2,33.0,3.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1918,8.0,5.5,123.0,CELEBES SEA,PHILIPPINES,Definite Tsunami,8.3,33.0,2.5,Severe (~>$5 to $24 million),Some (~51 to 100 people)
1917,6.0,-15.5,-173.0,SAMOA ISLANDS,SAMOA,Definite Tsunami,8.3,25.0,3.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1914,5.0,-1.829,136.943,NW. IRIAN JAYA,INDONESIA,Definite Tsunami,8.1,15.0,2.0,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1901,8.0,-22.0,170.0,LOYALTY ISLANDS,NEW CALEDONIA,Definite Tsunami,7.9,,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1905,7.0,37.4,142.6,JAPAN:  OFF FUKUSHIMA,JAPAN,Probable Tsunami,7.0,33.0,,,Some (~51 to 100 people)
1902,2.0,13.5,-89.5,EL SALVADOR-GUATEMALA,EL SALVADOR,Probable Tsunami,7.0,,2.0,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1918,10.0,18.7,-67.189,PUERTO RICO: MONA PASSAGE,USA TERRITORY,Definite Tsunami,7.1,15.0,,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1907,1.0,2.0,94.5,NW. SUMATRA,INDONESIA,Definite Tsunami,7.6,50.0,2.0,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1906,1.0,1.0,-81.5,OFF COAST,ECUADOR,Definite Tsunami,8.8,25.0,3.0,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1908,12.0,38.17,15.58,"MESSINA STRAIT, IONIAN SEA",ITALY,Definite Tsunami,7.0,40.0,5.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1933,1.0,49.12,154.508,"KHARIMKOTAN, N. KURIL ISLANDS",RUSSIA,Definite Tsunami,6.0,33.0,2.0,,Few (~1 to 50 people)
1926,1.0,-10.061,159.215,SOLOMON SEA,SOLOMON ISLANDS,Probable Tsunami,7.5,15.0,,Limited (<$1 million),
1938,11.0,37.0,141.7,OFF FUKUSHIMA PREFECTURE,JAPAN,Definite Tsunami,7.1,20.0,-0.5,,
1953,3.0,50.0,156.5,N. KURIL ISLANDS,RUSSIA,Probable Tsunami,5.8,,,,
1961,5.0,36.7,28.5,ASIA MINOR,TURKEY,Probable Tsunami,6.5,,,,
1927,10.0,57.69,-136.07,"SE. ALASKA, AK",USA,Probable Tsunami,7.1,25.0,,,
1945,2.0,40.9,142.1,SANRIKU,JAPAN,Definite Tsunami,7.3,20.0,-1.5,,Few (~1 to 50 people)
1967,12.0,-21.7,-69.5,NORTHERN CHILE,CHILE,Probable Tsunami,7.5,33.0,0.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1948,6.0,6.0,95.0,OFF NORTHWEST COAST,INDONESIA,Probable Tsunami,6.3,,0.0,,
1928,5.0,40.0,143.2,SANRIKU,JAPAN,Definite Tsunami,7.0,40.0,-2.0,,
1964,7.0,47.159,153.876,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,6.8,15.0,-2.0,,
1962,4.0,42.2,143.9,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.0,60.0,-3.5,,
1960,7.0,40.3,142.5,SANRIKU,JAPAN,Definite Tsunami,6.7,30.0,-3.0,,
1959,10.0,37.5,143.2,SANRIKU,JAPAN,Definite Tsunami,6.7,10.0,-4.0,,
1943,6.0,41.2,143.3,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.1,20.0,-0.5,,
1938,5.0,36.7,141.4,JAPAN TRENCH,JAPAN,Definite Tsunami,7.1,,,,
1927,8.0,34.2,142.0,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,6.4,20.0,,,
1964,5.0,40.3,139.0,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,6.9,30.0,0.0,Moderate (~$1 to $5 million),
1968,1.0,43.586,146.701,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.3,40.0,-1.0,,
1965,8.0,-15.8,167.2,VANUATU ISLANDS,VANUATU,Definite Tsunami,7.0,13.0,2.5,Moderate (~$1 to $5 million),
1965,7.0,53.03,-167.55,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",USA,Definite Tsunami,6.5,40.0,-2.0,Limited (<$1 million),
1965,6.0,44.7,148.7,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.2,,-3.0,,
1964,12.0,40.4,138.9,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,6.3,40.0,-3.0,,
1963,10.0,44.426,149.272,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.1,48.0,-2.0,,
1962,4.0,38.073,142.741,SANRIKU,JAPAN,Definite Tsunami,7.2,25.0,-2.0,,
1962,3.0,8.008,-82.757,COSTA RICA-PANAMA,PANAMA,Probable Tsunami,6.8,35.0,,Limited (<$1 million),
1961,8.0,42.9,145.6,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.0,80.0,-4.0,,
1961,7.0,-18.421,168.411,VANUATU ISLANDS,VANUATU,Probable Tsunami,7.3,45.0,-0.5,Limited (<$1 million),
1961,7.0,29.6,131.8,RYUKYU ISLANDS,JAPAN,Definite Tsunami,6.6,60.0,-3.0,,
1961,2.0,43.2,147.9,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,6.6,80.0,-0.5,,
1961,1.0,36.2,141.9,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,6.5,20.0,-2.0,,
1961,1.0,36.0,141.9,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,6.4,20.0,-2.0,,
1961,1.0,36.0,142.3,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,6.8,40.0,-2.0,,
1960,6.0,-9.4,152.3,SOLOMON SEA,PAPUA NEW GUINEA,Probable Tsunami,6.6,33.0,0.0,,
1960,3.0,39.4,143.7,SANRIKU,JAPAN,Definite Tsunami,6.7,20.0,-2.5,,
1960,3.0,39.8,143.4,SANRIKU,JAPAN,Definite Tsunami,7.5,20.0,-2.0,Limited (<$1 million),
1959,1.0,37.5,142.2,SANRIKU,JAPAN,Definite Tsunami,6.8,40.0,-2.0,,
1957,9.0,-8.2,107.3,SOUTH OF JAVA,INDONESIA,Probable Tsunami,5.5,,,,
1956,3.0,44.3,144.1,NE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,6.3,20.0,-2.0,,
1955,10.0,-5.1,152.924,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,7.3,35.0,,,
1955,9.0,-6.9,155.7,SOLOMON SEA,PAPUA NEW GUINEA,Probable Tsunami,6.5,33.0,,,
1954,11.0,38.9,142.2,"MIYAGI, JAPAN",JAPAN,Definite Tsunami,6.1,30.0,-1.0,,
1952,3.0,19.1,-155.0,HAWAII,USA,Definite Tsunami,4.5,33.0,0.0,,
1950,11.0,-10.0,159.5,SOLOMON SEA,SOLOMON ISLANDS,Probable Tsunami,7.3,33.0,,,
1950,10.0,14.31,-91.917,GUATEMALA,GUATEMALA,Definite Tsunami,7.5,65.0,-1.0,Severe (~>$5 to $24 million),
1949,10.0,-5.5,154.0,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.5,60.0,-1.0,,
1949,1.0,54.6,163.5,KAMCHATKA,RUSSIA,Definite Tsunami,5.9,150.0,,,
1948,12.0,-22.5,-69.0,NORTHERN CHILE,CHILE,Probable Tsunami,7.0,100.0,0.0,,
1948,4.0,33.1,135.6,TOKAIDO,JAPAN,Definite Tsunami,7.2,40.0,-1.0,,
1947,11.0,43.8,141.0,W. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.0,33.0,1.0,Limited (<$1 million),
1947,5.0,-38.42,178.88,OFF COAST OF NORTH ISLAND,NEW ZEALAND,Definite Tsunami,6.9,12.0,,,
1947,3.0,-38.85,178.87,OFF COAST OF NORTH ISLAND,NEW ZEALAND,Probable Tsunami,7.1,12.0,3.0,Limited (<$1 million),
1946,6.0,49.87,-124.92,BRITISH COLUMBIA,CANADA,Definite Tsunami,7.3,,2.0,Limited (<$1 million),
1941,12.0,8.5,-84.0,COSTA RICA-PANAMA,COSTA RICA,Definite Tsunami,6.9,,-4.0,,
1941,1.0,-4.175,152.071,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,7.4,15.0,-2.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1939,3.0,32.3,132.0,SEIKAIDO,JAPAN,Definite Tsunami,6.6,20.0,0.0,Limited (<$1 million),Few (~1 to 50 people)
1938,11.0,36.7,142.1,SANRIKU,JAPAN,Definite Tsunami,6.9,10.0,-2.5,,
1938,11.0,37.0,141.5,SANRIKU,JAPAN,Definite Tsunami,6.0,60.0,-1.5,,
1961,11.0,42.7,145.7,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,6.9,60.0,-3.5,,
1938,11.0,37.0,142.2,SANRIKU,JAPAN,Definite Tsunami,7.0,50.0,-3.0,,
1931,9.0,-5.0,102.75,SW. SUMATRA,INDONESIA,Probable Tsunami,7.4,,,Limited (<$1 million),
1927,12.0,55.663,160.039,KAMCHATKA,RUSSIA,Definite Tsunami,7.5,35.0,,,
1927,11.0,-44.6,-73.0,SOUTHERN CHILE,CHILE,Probable Tsunami,7.1,33.0,2.0,,
1927,8.0,37.9,142.0,SANRIKU,JAPAN,Definite Tsunami,6.9,10.0,,Limited (<$1 million),
1926,9.0,-9.674,159.519,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,6.9,35.0,1.5,Moderate (~$1 to $5 million),
1925,2.0,60.0,-146.0,"GULF OF ALASKA, AK",USA,Probable Tsunami,6.0,,1.0,Limited (<$1 million),
1924,5.0,16.0,118.0,PHILIPPINES,PHILIPPINES,Definite Tsunami,6.5,,1.5,Limited (<$1 million),
1924,4.0,6.5,126.5,E. MINDANAO ISLAND,PHILIPPINES,Definite Tsunami,8.3,33.0,0.5,Severe (~>$5 to $24 million),
1923,11.0,-4.653,154.232,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,7.1,145.0,,,
1923,6.0,35.4,141.8,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,7.3,40.0,-1.5,,
1923,3.0,6.5,124.0,"MINDANAO ISLAND, PHILIPPINES",PHILIPPINES,Probable Tsunami,7.2,22.0,0.5,,
1922,12.0,-43.0,173.0,SE. NEW ZEALAND,NEW ZEALAND,Probable Tsunami,6.3,,0.0,,
1937,9.0,56.0,162.5,KAMCHATKA,RUSSIA,Probable Tsunami,5.7,33.0,1.0,,
1936,11.0,38.2,142.2,SANRIKU,JAPAN,Definite Tsunami,7.7,40.0,,,
1936,7.0,-24.5,-70.0,NORTHERN CHILE,CHILE,Definite Tsunami,7.3,60.0,0.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1935,10.0,40.7,144.3,SANRIKU,JAPAN,Definite Tsunami,7.0,10.0,-2.0,,
1935,10.0,39.9,143.7,SANRIKU,JAPAN,Definite Tsunami,7.2,10.0,-1.0,,
1935,7.0,36.6,141.4,JAPAN,JAPAN,Definite Tsunami,6.5,,,,
1934,7.0,-11.139,165.503,SOLOMON ISLANDS,SOLOMON ISLANDS,Probable Tsunami,7.2,35.0,,,
1933,10.0,-2.0,-81.0,ECUADOR,ECUADOR,Probable Tsunami,6.9,33.0,1.5,,
1933,6.0,38.1,142.4,SANRIKU,JAPAN,Definite Tsunami,7.1,20.0,,,
1930,9.0,-4.423,145.46,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,6.6,35.0,,,
1930,6.0,-5.6,105.3,SOUTH OF JAVA,INDONESIA,Probable Tsunami,6.0,33.0,,,
1929,5.0,51.0,-131.0,BRITISH COLUMBIA,CANADA,Probable Tsunami,7.0,33.0,0.0,Limited (<$1 million),
1929,5.0,31.7,132.2,HIUGANADA,JAPAN,Definite Tsunami,7.1,30.0,,,
1968,4.0,32.3,132.5,SEIKAIDO,JAPAN,Definite Tsunami,7.5,30.0,1.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1968,2.0,39.368,24.957,"LEMNOS ISLAND, NORTH AEGEAN SEA",GREECE,Definite Tsunami,7.2,15.0,3.0,Limited (<$1 million),Few (~1 to 50 people)
1967,8.0,-4.4,152.5,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,6.4,30.0,,,
1967,4.0,5.5,97.3,NORTHEAST SUMATRA,INDONESIA,Probable Tsunami,6.1,100.0,1.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1966,12.0,-25.5,-70.7,NORTHERN CHILE,CHILE,Definite Tsunami,7.8,47.0,0.5,Limited (<$1 million),Few (~1 to 50 people)
1966,10.0,-10.748,-78.638,CENTRAL PERU,PERU,Definite Tsunami,8.1,38.0,1.5,Extreme (~$25 million or more),Many (~101 to 1000 people)
1966,6.0,-10.343,160.883,SOLOMON ISLANDS,SOLOMON ISLANDS,Probable Tsunami,7.1,31.0,1.0,,
1966,3.0,24.1,122.6,E. TAIWAN-RYUKYU ISLANDS,TAIWAN,Probable Tsunami,7.6,48.0,0.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1965,8.0,16.3,-95.8,MEXICO,MEXICO,Definite Tsunami,7.8,,,Limited (<$1 million),Few (~1 to 50 people)
1965,3.0,50.32,177.93,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",USA,Definite Tsunami,7.6,20.0,-1.0,,
1965,2.0,51.29,178.55,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",USA,Definite Tsunami,8.7,36.0,2.5,Limited (<$1 million),
1964,11.0,-5.7,150.7,NEW BRITAIN,PAPUA NEW GUINEA,Probable Tsunami,7.6,45.0,,Limited (<$1 million),
1964,4.0,5.8,95.4,OFF NORTHWEST COAST OF INDONESIA,INDONESIA,Probable Tsunami,7.0,100.0,0.0,Severe (~>$5 to $24 million),
1963,10.0,44.772,150.563,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.9,28.0,3.0,,
1963,10.0,44.772,149.798,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,8.5,13.0,2.5,,
1963,2.0,24.4,122.1,E. TAIWAN-RYUKYU ISLANDS,TAIWAN,Definite Tsunami,7.3,47.0,-2.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1962,5.0,17.2,-99.5,S. MEXICO,MEXICO,Probable Tsunami,7.2,33.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1962,5.0,17.2,-99.6,S. MEXICO,MEXICO,Definite Tsunami,7.0,40.0,0.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1961,2.0,31.6,131.8,SEIKAIDO,JAPAN,Definite Tsunami,7.6,74.0,-0.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1960,5.0,-37.872,-73.243,CENTRAL CHILE,CHILE,Definite Tsunami,8.2,35.0,-1.0,Limited (<$1 million),Few (~1 to 50 people)
1959,8.0,-7.5,156.0,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.3,33.0,,Severe (~>$5 to $24 million),
1959,5.0,52.5,159.5,KAMCHATKA,RUSSIA,Definite Tsunami,8.2,60.0,1.0,,
1958,11.0,44.53,148.54,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,8.3,40.0,2.5,Moderate (~$1 to $5 million),
1957,7.0,16.5,-99.1,S. MEXICO,MEXICO,Definite Tsunami,7.9,25.0,0.5,Extreme (~$25 million or more),Some (~51 to 100 people)
1957,6.0,-1.5,137.0,NW. IRIAN JAYA,INDONESIA,Probable Tsunami,7.3,33.0,,,
1953,12.0,-3.4,-80.6,N. PERU,PERU,Definite Tsunami,7.4,30.0,0.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1953,11.0,34.0,141.7,"KASHIMA, JAPAN",JAPAN,Definite Tsunami,7.4,60.0,1.5,Limited (<$1 million),Few (~1 to 50 people)
1952,3.0,9.5,127.25,"E. OF MINDANO, PHILIPPINES",PHILIPPINES,Definite Tsunami,7.8,25.0,,Limited (<$1 million),
1952,3.0,41.7,143.6,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.0,20.0,-2.0,Moderate (~$1 to $5 million),
1951,8.0,19.5,-156.0,HAWAII,USA,Definite Tsunami,6.9,12.0,0.5,Limited (<$1 million),
1950,12.0,16.48,-98.22,S. MEXICO,MEXICO,Definite Tsunami,7.5,50.0,,Severe (~>$5 to $24 million),
1950,10.0,11.0,-85.0,COSTA RICA-NICARAGUA,COSTA RICA,Definite Tsunami,7.7,33.0,-2.0,Limited (<$1 million),
1949,8.0,53.6,-133.3,BRITISH COLUMBIA,CANADA,Definite Tsunami,8.1,25.0,,,
1949,7.0,38.718,26.482,"CHIOS ISLAND, AEGEAN ISLANDS",GREECE,Probable Tsunami,6.5,15.0,2.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1949,4.0,47.167,-122.617,"PUGET SOUND, WA",USA,Probable Tsunami,7.0,70.0,,Extreme (~$25 million or more),Few (~1 to 50 people)
1948,9.0,-21.0,-174.0,TONGA TRENCH,TONGA,Definite Tsunami,7.8,33.0,1.5,,
1948,4.0,38.532,20.427,IONIAN SEA,GREECE,Definite Tsunami,6.5,15.0,4.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1948,2.0,35.5,27.2,"DODECANESE, KARPATHOS IS.",GREECE,Definite Tsunami,7.1,40.0,4.0,Limited (<$1 million),
1947,10.0,37.0,22.0,"PELOPONNESUS, GREECE",GREECE,Probable Tsunami,6.9,28.0,2.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1945,1.0,34.7,137.2,TOKAIDO,JAPAN,Definite Tsunami,7.1,33.0,-0.5,Extreme (~$25 million or more),Very Many (~1001 or more people)
1943,4.0,-30.75,-72.0,CENTRAL CHILE,CHILE,Definite Tsunami,8.2,35.0,,Limited (<$1 million),Few (~1 to 50 people)
